filename,fractal_dimension,entropy,lacunarity,SRE,LRE,RPC,Minor_Axis_Length,Solidity,Integrated_Density,Label
GBM-Grade IV-F10.jpg,1.779953794893479,6.409139385884508,0.0471784969888953,2.948,12.707,44.114,2.948988925961348,0.8858995018229958,88557693.0,1
GBM-Grade IV-G1.jpg,1.7802220666881197,6.115377472205521,0.0172061340133099,2.547,26.069,35.56,1.9520452057473243,0.8867142613511246,76427546.0,1
GBM-Grade IV-D9.jpg,1.6778956461999055,6.136544532919118,0.0238130584736027,2.412,28.962,32.913,1.8275760558601557,0.9297195810340156,69198522.0,1
GBM-Grade IV-F2(1).jpg,1.7587428426013934,6.034501305552364,0.0203114073728972,2.53,25.153,35.32,1.9901046056539504,0.8877026586971632,85842705.0,1
GBM-Grade IV-G3.jpg,1.552422217897801,6.133590358715057,0.0217092285058966,2.329,45.785,29.532,0.9612016487115704,0.9628385220370976,64307549.0,1
GBM-Grade IV-E2.jpg,1.5845241320837904,6.144000456520286,0.0213144859781816,2.297,29.227,29.836,1.1541147759606067,0.9436829067629766,52638409.0,1
GBM-Grade IV-F2.jpg,1.7587428426013934,6.034501305552364,0.0203114073728972,2.53,25.153,35.32,1.9901046056539504,0.8877026586971632,85842705.0,1
GBM-Grade IV-E4(2).jpg,1.7288437310402982,6.164757980188182,0.0200050875150739,2.457,30.977,33.099,2.1562923981689712,0.9048305136332988,84935556.0,1
GBM-Grade IV-E8(1).jpg,1.7897151621219156,6.17972512332247,0.0283528758405858,2.784,16.082,39.899,3.288249411778225,0.8695544533783323,95088367.0,1
GBM-Grade IV-E3.jpg,1.758936294314215,6.394863225439837,0.0237674497668258,2.575,27.987,33.414,1.6991643481206706,0.9026811525381122,62841496.0,1
GBM-Grade IV-E7(1).jpg,1.7723474597191884,5.947349248776541,0.026402853906309,2.768,16.712,40.29,3.2567660744456,0.8652046894264068,92402548.0,1
GBM-Grade IV-G5.jpg,1.7352084133099797,6.053758352521415,0.020717179870869,2.568,32.136,31.172,1.3408051031574018,0.9076733155548748,63969996.0,1
GBM-Grade IV-G4.jpg,1.3418243688129188,5.972528684425009,0.0215739046305163,2.328,50.274,27.931,1.393480216588638,0.968405615878979,58577284.0,1
GBM-Grade IV-D5.jpg,1.754724635726875,6.052266088084036,0.0181617640945891,2.431,29.612,32.157,2.6246478265873634,0.8858087233175346,73613017.0,1
GBM-Grade IV-F10(1).jpg,1.779953794893479,6.409139385884508,0.0471784969888953,2.948,12.707,44.114,2.948988925961348,0.8858995018229958,88557693.0,1
GBM-Grade IV-E1.jpg,1.7219955909206015,6.035351625489018,0.011432122610616,2.297,30.124,30.15,1.4461942807956083,0.9256397817238594,61991187.0,1
GBM-Grade IV-G6.jpg,1.6979481577576514,5.760734937220338,0.0173326191424932,2.544,32.264,32.952,1.1197283826216498,0.931027989887612,73926107.0,1
GBM-Grade IV-G7.jpg,1.800107289079328,5.711026917913013,0.0170073007618995,2.548,39.35,31.932,2.508893161604257,0.9170501361073402,114603321.0,1
GBM-Grade IV-F1(2).jpg,1.7635172716132572,6.395114212539035,0.0327269749856698,2.648,22.692,37.504,2.680285692571446,0.880575557862073,97005023.0,1
GBM-Grade IV-F7.jpg,1.6703196551280493,5.953314293370588,0.0222413210232752,2.37,32.71,31.944,1.9743334491839188,0.916548413098837,72428874.0,1
GBM-Grade IV-G10.jpg,1.7358758183469831,6.184988090834431,0.0257301151096249,2.615,23.492,35.896,1.4295765456681526,0.9147564134537391,68072357.0,1
GBM-Grade IV-D6.jpg,1.759939694717352,5.514052107365347,0.0134130613840377,2.468,24.748,35.011,2.3199465550932703,0.8870404939691882,93547580.0,1
GBM-Grade IV-F1.jpg,1.7635172716132572,6.395114212539035,0.0327269749856698,2.648,22.692,37.504,2.680285692571446,0.880575557862073,97005023.0,1
GBM-Grade IV-F6.jpg,1.769415387371312,5.555389008735761,0.0105952352634417,2.331,44.471,29.127,2.538315042687163,0.8945451866859525,99566783.0,1
GBM-Grade IV-F5.jpg,1.7496890987428095,5.982455797753057,0.0162831084171537,2.428,33.193,32.37,2.233798727671417,0.8972316387670762,80598699.0,1
GBM-Grade IV-F10(2).jpg,1.779953794893479,6.409139385884508,0.0471784969888953,2.948,12.707,44.114,2.948988925961348,0.8858995018229958,88557693.0,1
GBM-Grade IV-G9.jpg,1.7420526273726755,6.099427418693512,0.0244497098616271,2.586,26.12,34.518,1.8882818365693963,0.901832093643796,75569382.0,1
GBM-Grade IV-E4.jpg,1.7288437310402982,6.164757980188182,0.0200050875150739,2.457,30.977,33.099,2.1562923981689712,0.9048305136332988,84935556.0,1
GBM-Grade IV-F4.jpg,1.7339484026326208,6.0775800340807935,0.0223795223718468,2.521,35.076,32.166,2.076897104358655,0.919958137101934,76372232.0,1
GBM-Grade IV-E4(1).jpg,1.7288437310402982,6.164757980188182,0.0200050875150739,2.457,30.977,33.099,2.1562923981689712,0.9048305136332988,84935556.0,1
GBM-Grade IV-E7.jpg,1.7723474597191884,5.947349248776541,0.026402853906309,2.768,16.712,40.29,3.2567660744456,0.8652046894264068,92402548.0,1
GBM-Grade IV-F3.jpg,1.7575841045933556,6.288287308677644,0.02585822925224,2.645,22.411,36.354,1.9267792881048416,0.9090188015836876,62399541.0,1
GBM-Grade IV-D10.jpg,1.6725836380752177,6.4041129653843765,0.0255196466215166,2.369,28.75,31.704,1.664197327751697,0.9356239791184134,53589123.0,1
D2.jpg,1.5795581302469692,6.856157403386869,0.0294666727987771,1.969,75.752,43.603,1.9198630099031064,0.9417030183197134,196178483.0,1
C2.jpg,1.5954526382326175,6.977694831212416,0.0426799377184028,2.052,84.126,37.429,2.0031011371563165,0.950923890443528,164038324.0,1
B2.jpg,1.720456950845623,6.462795326163423,0.0158648838988301,1.996,60.41,40.57,4.040658900630998,0.8928251251353291,228227574.0,1
D1.jpg,1.7933074296556246,5.905496026595954,0.0068611544400169,1.972,95.717,39.578,2.7542077047254168,0.8901221247307936,257190246.0,1
A4.jpg,1.7453799606106115,6.021151505115197,0.0062499055033979,1.871,77.287,38.56,2.311202475337198,0.9082635623122368,210927061.0,1
A6.jpg,1.4902162567340314,6.358889591117039,0.0096589356728998,1.798,442.178,19.65,1.629346070791183,0.9508879614524962,148252579.0,1
A8.jpg,1.674128993738366,6.756840381148737,0.0185376795379327,2.03,73.67,38.631,1.9108155540281917,0.9349989899275608,138848609.0,1
B1.jpg,1.7211809294403473,5.696976729489363,0.0100915128864991,2.027,53.374,44.846,4.084509420982959,0.8927032332758779,341104826.0,1
A3.jpg,1.5970410622668938,6.568564056805218,0.0144047239835467,1.872,314.554,24.069,1.9408406171660368,0.9447906602388751,148933006.0,1
A10.jpg,1.7253737975117085,6.65735273544154,0.0228604797025162,2.134,50.809,51.464,2.867329615382016,0.8963243038371067,261172983.0,1
A1.jpg,1.5979103685110072,5.895826356484071,0.0057278076579194,1.955,49.226,44.593,1.390185774986057,0.9596747462560262,155345979.0,1
A5.jpg,1.6851328556373948,6.253167505508804,0.0190133229043307,2.085,218.37,35.889,4.368805818549237,0.9048254589169816,316565941.0,1
A9.jpg,1.689385163065,6.871029969344501,0.0266473150026576,1.981,59.622,43.063,2.7171245481279938,0.9092591133379976,209935448.0,1
GBM-14.jpg,1.77981200103768,6.051594997045224,0.0629472729690711,2.885,13.91,77.379,3.553175572179593,0.8680142171547659,278250850.0,1
GBM-11.jpg,1.601826359787286,6.131209577652055,0.0464066178451515,2.489,46.745,54.872,1.3600528005676176,0.9526941333274738,182217952.0,1
